SNo,Parameters,Recommendation
1,Throughput=715Mbps | Latency=11ms | Reliability=99.967% | Density=2533devices/km2 | Mobility=58km/h | Error  =Scale lag | StdTag=TS 23.501,"TS 23.501 eMBB QoS tune, URLLC latency hold, mMTC device scale"
18,Throughput=1024Mbps | Latency=6ms | Reliability=99.956% | Density=2203devices/km2 | Mobility=36km/h | Error  =Low jitter | StdTag=TS 23.501,"TS 23.501 eMBB QoS tune, URLLC latency hold, mMTC device scale"
19,Throughput=724Mbps | Latency=14ms | Reliability=99.975% | Density=3026devices/km2 | Mobility=65km/h | Error  =Radio load | StdTag=TS 23.501,"TS 23.501 eMBB QoS tune, URLLC latency hold, mMTC device scale"
20,Throughput=727Mbps | Latency=5ms | Reliability=99.969% | Density=2709devices/km2 | Mobility=75km/h | Error  =Minor delay | StdTag=TS 23.501,"TS 23.501 eMBB QoS tune, URLLC latency hold, mMTC device scale"
21,Throughput=971Mbps | Latency=10ms | Reliability=99.994% | Density=2744devices/km2 | Mobility=53km/h | Error  =Scale lag | StdTag=TS 23.501,"TS 23.501 eMBB QoS tune, URLLC latency hold, mMTC device scale"
22,Throughput=1013Mbps | Latency=14ms | Reliability=99.975% | Density=3868devices/km2 | Mobility=92km/h | Error  =Timing skew | StdTag=TS 23.501,"TS 23.501 eMBB QoS tune, URLLC latency hold, mMTC device scale"
23,Throughput=557Mbps | Latency=9ms | Reliability=99.959% | Density=3636devices/km2 | Mobility=86km/h | Error  =Minor delay | StdTag=TS 23.501,"TS 23.501 eMBB QoS tune, URLLC latency hold, mMTC device scale"
24,Throughput=984Mbps | Latency=4ms | Reliability=99.963% | Density=3085devices/km2 | Mobility=50km/h | Error  =Sync loss | StdTag=TS 23.501,"TS 23.501 eMBB QoS tune, URLLC latency hold, mMTC device scale"
25,Throughput=925Mbps | Latency=8ms | Reliability=99.995% | Density=2298devices/km2 | Mobility=83km/h | Error  =Scale lag | StdTag=TS 23.501,"TS 23.501 eMBB QoS tune, URLLC latency hold, mMTC device scale"
26,Throughput=766Mbps | Latency=8ms | Reliability=99.964% | Density=3019devices/km2 | Mobility=110km/h | Error  =Buffer warn | StdTag=TS 23.501,"TS 23.501 eMBB QoS tune, URLLC latency hold, mMTC device scale"
27,Throughput=924Mbps | Latency=12ms | Reliability=99.99% | Density=2389devices/km2 | Mobility=68km/h | Error  =Policy miss | StdTag=TS 23.501,"TS 23.501 eMBB QoS tune, URLLC latency hold, mMTC device scale"
28,Throughput=511Mbps | Latency=6ms | Reliability=99.985% | Density=2183devices/km2 | Mobility=37km/h | Error  =Policy miss | StdTag=TS 23.501,"TS 23.501 eMBB QoS tune, URLLC latency hold, mMTC device scale"
29,Throughput=746Mbps | Latency=5ms | Reliability=99.985% | Density=2393devices/km2 | Mobility=105km/h | Error  =Scale lag | StdTag=TS 23.501,"TS 23.501 eMBB QoS tune, URLLC latency hold, mMTC device scale"
30,Throughput=607Mbps | Latency=5ms | Reliability=99.968% | Density=3120devices/km2 | Mobility=120km/h | Error  =Sync loss | StdTag=TS 23.501,"TS 23.501 eMBB QoS tune, URLLC latency hold, mMTC device scale"
31,Throughput=619Mbps | Latency=6ms | Reliability=99.985% | Density=2950devices/km2 | Mobility=79km/h | Error  =Policy miss | StdTag=TS 23.501,"TS 23.501 eMBB QoS tune, URLLC latency hold, mMTC device scale"
32,Throughput=1032Mbps | Latency=8ms | Reliability=99.951% | Density=3200devices/km2 | Mobility=37km/h | Error  =Sync loss | StdTag=TS 23.501,"TS 23.501 eMBB QoS tune, URLLC latency hold, mMTC device scale"
33,Throughput=1059Mbps | Latency=5ms | Reliability=99.991% | Density=2356devices/km2 | Mobility=112km/h | Error  =Low jitter | StdTag=TS 23.501,"TS 23.501 eMBB QoS tune, URLLC latency hold, mMTC device scale"
34,Throughput=500Mbps | Latency=12ms | Reliability=99.991% | Density=3680devices/km2 | Mobility=63km/h | Error  =Policy miss | StdTag=TS 23.501,"TS 23.501 eMBB QoS tune, URLLC latency hold, mMTC device scale"
35,Throughput=983Mbps | Latency=12ms | Reliability=99.952% | Density=2846devices/km2 | Mobility=40km/h | Error  =Policy miss | StdTag=TS 23.501,"TS 23.501 eMBB QoS tune, URLLC latency hold, mMTC device scale"
36,Throughput=775Mbps | Latency=3ms | Reliability=99.969% | Density=3831devices/km2 | Mobility=103km/h | Error  =Scale lag | StdTag=TS 23.501,"TS 23.501 eMBB QoS tune, URLLC latency hold, mMTC device scale"
37,Throughput=1154Mbps | Latency=13ms | Reliability=99.953% | Density=2151devices/km2 | Mobility=80km/h | Error  =Buffer warn | StdTag=TS 23.501,"TS 23.501 eMBB QoS tune, URLLC latency hold, mMTC device scale"
38,Throughput=787Mbps | Latency=10ms | Reliability=99.979% | Density=2123devices/km2 | Mobility=117km/h | Error  =Link drop | StdTag=TS 23.501,"TS 23.501 eMBB QoS tune, URLLC latency hold, mMTC device scale"
39,Throughput=864Mbps | Latency=6ms | Reliability=99.969% | Density=2748devices/km2 | Mobility=31km/h | Error  =Buffer warn | StdTag=TS 23.501,"TS 23.501 eMBB QoS tune, URLLC latency hold, mMTC device scale"
40,Throughput=916Mbps | Latency=13ms | Reliability=99.954% | Density=2407devices/km2 | Mobility=74km/h | Error  =Low jitter | StdTag=TS 23.501,"TS 23.501 eMBB QoS tune, URLLC latency hold, mMTC device scale"
41,Throughput=1149Mbps | Latency=3ms | Reliability=99.995% | Density=3209devices/km2 | Mobility=79km/h | Error  =Policy miss | StdTag=TS 23.501,"TS 23.501 eMBB QoS tune, URLLC latency hold, mMTC device scale"
42,Throughput=760Mbps | Latency=14ms | Reliability=99.972% | Density=3870devices/km2 | Mobility=108km/h | Error  =Timing skew | StdTag=TS 23.501,"TS 23.501 eMBB QoS tune, URLLC latency hold, mMTC device scale"
43,Throughput=617Mbps | Latency=14ms | Reliability=99.996% | Density=3644devices/km2 | Mobility=58km/h | Error  =Policy miss | StdTag=TS 23.501,"TS 23.501 eMBB QoS tune, URLLC latency hold, mMTC device scale"
44,Throughput=626Mbps | Latency=12ms | Reliability=99.971% | Density=3019devices/km2 | Mobility=120km/h | Error  =Minor delay | StdTag=TS 23.501,"TS 23.501 eMBB QoS tune, URLLC latency hold, mMTC device scale"
45,Throughput=819Mbps | Latency=14ms | Reliability=99.979% | Density=2631devices/km2 | Mobility=120km/h | Error  =Low jitter | StdTag=TS 23.501,"TS 23.501 eMBB QoS tune, URLLC latency hold, mMTC device scale"
46,Throughput=714Mbps | Latency=7ms | Reliability=99.972% | Density=3191devices/km2 | Mobility=66km/h | Error  =Minor delay | StdTag=TS 23.501,"TS 23.501 eMBB QoS tune, URLLC latency hold, mMTC device scale"
47,Throughput=948Mbps | Latency=13ms | Reliability=99.963% | Density=3875devices/km2 | Mobility=101km/h | Error  =Scale lag | StdTag=TS 23.501,"TS 23.501 eMBB QoS tune, URLLC latency hold, mMTC device scale"
48,Throughput=691Mbps | Latency=3ms | Reliability=99.975% | Density=3461devices/km2 | Mobility=77km/h | Error  =Buffer warn | StdTag=TS 23.501,"TS 23.501 eMBB QoS tune, URLLC latency hold, mMTC device scale"
49,Throughput=607Mbps | Latency=14ms | Reliability=99.973% | Density=3102devices/km2 | Mobility=78km/h | Error  =Timing skew | StdTag=TS 23.501,"TS 23.501 eMBB QoS tune, URLLC latency hold, mMTC device scale"
50,Throughput=662Mbps | Latency=3ms | Reliability=99.981% | Density=3492devices/km2 | Mobility=83km/h | Error  =QoS drift | StdTag=TS 23.501,"TS 23.501 eMBB QoS tune, URLLC latency hold, mMTC device scale"
51,Throughput=701Mbps | Latency=8ms | Reliability=99.963% | Density=2832devices/km2 | Mobility=116km/h | Error  =Low jitter | StdTag=TS 23.502,"TS 23.502 eMBB session flow, URLLC fast handover, mMTC access sync"
52,Throughput=921Mbps | Latency=6ms | Reliability=99.979% | Density=3830devices/km2 | Mobility=108km/h | Error  =Low jitter | StdTag=TS 23.502,"TS 23.502 eMBB session flow, URLLC fast handover, mMTC access sync"
53,Throughput=1094Mbps | Latency=4ms | Reliability=99.994% | Density=3646devices/km2 | Mobility=52km/h | Error  =Buffer warn | StdTag=TS 23.502,"TS 23.502 eMBB session flow, URLLC fast handover, mMTC access sync"
54,Throughput=1084Mbps | Latency=15ms | Reliability=99.958% | Density=3068devices/km2 | Mobility=42km/h | Error  =Scale lag | StdTag=TS 23.502,"TS 23.502 eMBB session flow, URLLC fast handover, mMTC access sync"
55,Throughput=813Mbps | Latency=13ms | Reliability=99.952% | Density=3895devices/km2 | Mobility=73km/h | Error  =Link drop | StdTag=TS 23.502,"TS 23.502 eMBB session flow, URLLC fast handover, mMTC access sync"
56,Throughput=1007Mbps | Latency=12ms | Reliability=99.992% | Density=3603devices/km2 | Mobility=68km/h | Error  =Minor delay | StdTag=TS 23.502,"TS 23.502 eMBB session flow, URLLC fast handover, mMTC access sync"
57,Throughput=559Mbps | Latency=6ms | Reliability=99.957% | Density=3851devices/km2 | Mobility=120km/h | Error  =Timing skew | StdTag=TS 23.502,"TS 23.502 eMBB session flow, URLLC fast handover, mMTC access sync"
58,Throughput=1093Mbps | Latency=8ms | Reliability=99.958% | Density=3425devices/km2 | Mobility=112km/h | Error  =Scale lag | StdTag=TS 23.502,"TS 23.502 eMBB session flow, URLLC fast handover, mMTC access sync"
59,Throughput=1178Mbps | Latency=3ms | Reliability=99.995% | Density=3455devices/km2 | Mobility=83km/h | Error  =Minor delay | StdTag=TS 23.502,"TS 23.502 eMBB session flow, URLLC fast handover, mMTC access sync"
60,Throughput=932Mbps | Latency=9ms | Reliability=99.998% | Density=2326devices/km2 | Mobility=77km/h | Error  =Timing skew | StdTag=TS 23.502,"TS 23.502 eMBB session flow, URLLC fast handover, mMTC access sync"
61,Throughput=953Mbps | Latency=13ms | Reliability=99.978% | Density=2898devices/km2 | Mobility=84km/h | Error  =Sync loss | StdTag=TS 23.502,"TS 23.502 eMBB session flow, URLLC fast handover, mMTC access sync"
62,Throughput=865Mbps | Latency=3ms | Reliability=99.956% | Density=3766devices/km2 | Mobility=36km/h | Error  =Sync loss | StdTag=TS 23.502,"TS 23.502 eMBB session flow, URLLC fast handover, mMTC access sync"
63,Throughput=886Mbps | Latency=3ms | Reliability=99.994% | Density=3966devices/km2 | Mobility=76km/h | Error  =Link drop | StdTag=TS 23.502,"TS 23.502 eMBB session flow, URLLC fast handover, mMTC access sync"
64,Throughput=1105Mbps | Latency=13ms | Reliability=99.959% | Density=3732devices/km2 | Mobility=98km/h | Error  =Scale lag | StdTag=TS 23.502,"TS 23.502 eMBB session flow, URLLC fast handover, mMTC access sync"
65,Throughput=1041Mbps | Latency=11ms | Reliability=99.951% | Density=3324devices/km2 | Mobility=102km/h | Error  =Radio load | StdTag=TS 23.502,"TS 23.502 eMBB session flow, URLLC fast handover, mMTC access sync"
66,Throughput=744Mbps | Latency=6ms | Reliability=99.958% | Density=3031devices/km2 | Mobility=76km/h | Error  =Sync loss | StdTag=TS 23.502,"TS 23.502 eMBB session flow, URLLC fast handover, mMTC access sync"
67,Throughput=541Mbps | Latency=14ms | Reliability=99.965% | Density=2713devices/km2 | Mobility=110km/h | Error  =Timing skew | StdTag=TS 23.502,"TS 23.502 eMBB session flow, URLLC fast handover, mMTC access sync"
68,Throughput=956Mbps | Latency=7ms | Reliability=99.96% | Density=3265devices/km2 | Mobility=72km/h | Error  =Minor delay | StdTag=TS 23.502,"TS 23.502 eMBB session flow, URLLC fast handover, mMTC access sync"
69,Throughput=861Mbps | Latency=9ms | Reliability=99.986% | Density=2427devices/km2 | Mobility=55km/h | Error  =Link drop | StdTag=TS 23.502,"TS 23.502 eMBB session flow, URLLC fast handover, mMTC access sync"
70,Throughput=726Mbps | Latency=5ms | Reliability=99.99% | Density=3788devices/km2 | Mobility=35km/h | Error  =Buffer warn | StdTag=TS 23.502,"TS 23.502 eMBB session flow, URLLC fast handover, mMTC access sync"
71,Throughput=835Mbps | Latency=9ms | Reliability=99.971% | Density=2583devices/km2 | Mobility=72km/h | Error  =Policy miss | StdTag=TS 23.502,"TS 23.502 eMBB session flow, URLLC fast handover, mMTC access sync"
72,Throughput=1006Mbps | Latency=9ms | Reliability=99.987% | Density=2933devices/km2 | Mobility=101km/h | Error  =Scale lag | StdTag=TS 23.502,"TS 23.502 eMBB session flow, URLLC fast handover, mMTC access sync"
73,Throughput=1100Mbps | Latency=8ms | Reliability=99.986% | Density=2033devices/km2 | Mobility=69km/h | Error  =Link drop | StdTag=TS 23.502,"TS 23.502 eMBB session flow, URLLC fast handover, mMTC access sync"
74,Throughput=1050Mbps | Latency=13ms | Reliability=99.955% | Density=3345devices/km2 | Mobility=108km/h | Error  =Scale lag | StdTag=TS 23.502,"TS 23.502 eMBB session flow, URLLC fast handover, mMTC access sync"
75,Throughput=821Mbps | Latency=6ms | Reliability=99.977% | Density=3686devices/km2 | Mobility=58km/h | Error  =Sync loss | StdTag=TS 23.502,"TS 23.502 eMBB session flow, URLLC fast handover, mMTC access sync"
76,Throughput=834Mbps | Latency=4ms | Reliability=99.973% | Density=2010devices/km2 | Mobility=101km/h | Error  =Scale lag | StdTag=TS 23.502,"TS 23.502 eMBB session flow, URLLC fast handover, mMTC access sync"
77,Throughput=1000Mbps | Latency=15ms | Reliability=99.995% | Density=2028devices/km2 | Mobility=119km/h | Error  =Policy miss | StdTag=TS 23.502,"TS 23.502 eMBB session flow, URLLC fast handover, mMTC access sync"
78,Throughput=830Mbps | Latency=9ms | Reliability=99.98% | Density=3564devices/km2 | Mobility=80km/h | Error  =Link drop | StdTag=TS 23.502,"TS 23.502 eMBB session flow, URLLC fast handover, mMTC access sync"
79,Throughput=566Mbps | Latency=13ms | Reliability=99.982% | Density=2346devices/km2 | Mobility=35km/h | Error  =Policy miss | StdTag=TS 23.502,"TS 23.502 eMBB session flow, URLLC fast handover, mMTC access sync"
80,Throughput=624Mbps | Latency=12ms | Reliability=99.968% | Density=3033devices/km2 | Mobility=51km/h | Error  =QoS drift | StdTag=TS 23.502,"TS 23.502 eMBB session flow, URLLC fast handover, mMTC access sync"
81,Throughput=630Mbps | Latency=12ms | Reliability=99.969% | Density=3412devices/km2 | Mobility=81km/h | Error  =Scale lag | StdTag=TS 23.502,"TS 23.502 eMBB session flow, URLLC fast handover, mMTC access sync"
82,Throughput=1048Mbps | Latency=14ms | Reliability=99.988% | Density=3818devices/km2 | Mobility=119km/h | Error  =Buffer warn | StdTag=TS 23.502,"TS 23.502 eMBB session flow, URLLC fast handover, mMTC access sync"
83,Throughput=941Mbps | Latency=10ms | Reliability=99.961% | Density=3563devices/km2 | Mobility=72km/h | Error  =Buffer warn | StdTag=TS 23.502,"TS 23.502 eMBB session flow, URLLC fast handover, mMTC access sync"
84,Throughput=656Mbps | Latency=11ms | Reliability=99.97% | Density=3041devices/km2 | Mobility=116km/h | Error  =Low jitter | StdTag=TS 23.502,"TS 23.502 eMBB session flow, URLLC fast handover, mMTC access sync"
85,Throughput=663Mbps | Latency=14ms | Reliability=99.971% | Density=2037devices/km2 | Mobility=45km/h | Error  =Timing skew | StdTag=TS 23.502,"TS 23.502 eMBB session flow, URLLC fast handover, mMTC access sync"
86,Throughput=1048Mbps | Latency=7ms | Reliability=99.963% | Density=3063devices/km2 | Mobility=59km/h | Error  =Scale lag | StdTag=TS 23.502,"TS 23.502 eMBB session flow, URLLC fast handover, mMTC access sync"
87,Throughput=929Mbps | Latency=15ms | Reliability=99.977% | Density=2521devices/km2 | Mobility=90km/h | Error  =Low jitter | StdTag=TS 23.502,"TS 23.502 eMBB session flow, URLLC fast handover, mMTC access sync"
88,Throughput=952Mbps | Latency=13ms | Reliability=99.957% | Density=3252devices/km2 | Mobility=74km/h | Error  =Minor delay | StdTag=TS 23.502,"TS 23.502 eMBB session flow, URLLC fast handover, mMTC access sync"
89,Throughput=704Mbps | Latency=11ms | Reliability=99.975% | Density=2846devices/km2 | Mobility=103km/h | Error  =Sync loss | StdTag=TS 23.502,"TS 23.502 eMBB session flow, URLLC fast handover, mMTC access sync"
90,Throughput=1162Mbps | Latency=13ms | Reliability=99.984% | Density=2857devices/km2 | Mobility=84km/h | Error  =Link drop | StdTag=TS 23.502,"TS 23.502 eMBB session flow, URLLC fast handover, mMTC access sync"
91,Throughput=669Mbps | Latency=8ms | Reliability=99.988% | Density=3300devices/km2 | Mobility=89km/h | Error  =Sync loss | StdTag=TS 23.502,"TS 23.502 eMBB session flow, URLLC fast handover, mMTC access sync"
92,Throughput=636Mbps | Latency=5ms | Reliability=99.99% | Density=3238devices/km2 | Mobility=39km/h | Error  =Radio load | StdTag=TS 23.502,"TS 23.502 eMBB session flow, URLLC fast handover, mMTC access sync"
93,Throughput=866Mbps | Latency=11ms | Reliability=99.995% | Density=2023devices/km2 | Mobility=57km/h | Error  =Buffer warn | StdTag=TS 23.502,"TS 23.502 eMBB session flow, URLLC fast handover, mMTC access sync"
94,Throughput=552Mbps | Latency=3ms | Reliability=99.979% | Density=2634devices/km2 | Mobility=67km/h | Error  =Policy miss | StdTag=TS 23.502,"TS 23.502 eMBB session flow, URLLC fast handover, mMTC access sync"
95,Throughput=912Mbps | Latency=11ms | Reliability=99.951% | Density=3517devices/km2 | Mobility=118km/h | Error  =Minor delay | StdTag=TS 23.502,"TS 23.502 eMBB session flow, URLLC fast handover, mMTC access sync"
96,Throughput=620Mbps | Latency=5ms | Reliability=99.995% | Density=2185devices/km2 | Mobility=75km/h | Error  =Radio load | StdTag=TS 23.502,"TS 23.502 eMBB session flow, URLLC fast handover, mMTC access sync"
97,Throughput=781Mbps | Latency=10ms | Reliability=99.965% | Density=2392devices/km2 | Mobility=60km/h | Error  =QoS drift | StdTag=TS 23.502,"TS 23.502 eMBB session flow, URLLC fast handover, mMTC access sync"
98,Throughput=1186Mbps | Latency=7ms | Reliability=99.975% | Density=3892devices/km2 | Mobility=46km/h | Error  =Timing skew | StdTag=TS 23.502,"TS 23.502 eMBB session flow, URLLC fast handover, mMTC access sync"
99,Throughput=1015Mbps | Latency=6ms | Reliability=99.973% | Density=3520devices/km2 | Mobility=43km/h | Error  =Scale lag | StdTag=TS 23.502,"TS 23.502 eMBB session flow, URLLC fast handover, mMTC access sync"
100,Throughput=1071Mbps | Latency=10ms | Reliability=99.953% | Density=3074devices/km2 | Mobility=72km/h | Error  =Timing skew | StdTag=TS 23.502,"TS 23.502 eMBB session flow, URLLC fast handover, mMTC access sync"
101,Throughput=1184Mbps | Latency=3ms | Reliability=99.984% | Density=2952devices/km2 | Mobility=71km/h | Error  =Low jitter | StdTag=TS 23.503,"TS 23.503 eMBB policy apply, URLLC priority path, mMTC load balance"
102,Throughput=1046Mbps | Latency=7ms | Reliability=99.987% | Density=2083devices/km2 | Mobility=112km/h | Error  =Minor delay | StdTag=TS 23.503,"TS 23.503 eMBB policy apply, URLLC priority path, mMTC load balance"
103,Throughput=1073Mbps | Latency=3ms | Reliability=99.997% | Density=2010devices/km2 | Mobility=85km/h | Error  =Scale lag | StdTag=TS 23.503,"TS 23.503 eMBB policy apply, URLLC priority path, mMTC load balance"
104,Throughput=1191Mbps | Latency=5ms | Reliability=99.991% | Density=2694devices/km2 | Mobility=78km/h | Error  =Timing skew | StdTag=TS 23.503,"TS 23.503 eMBB policy apply, URLLC priority path, mMTC load balance"
105,Throughput=746Mbps | Latency=3ms | Reliability=99.987% | Density=2765devices/km2 | Mobility=117km/h | Error  =Scale lag | StdTag=TS 23.503,"TS 23.503 eMBB policy apply, URLLC priority path, mMTC load balance"
106,Throughput=528Mbps | Latency=11ms | Reliability=99.966% | Density=2230devices/km2 | Mobility=92km/h | Error  =Minor delay | StdTag=TS 23.503,"TS 23.503 eMBB policy apply, URLLC priority path, mMTC load balance"
107,Throughput=1135Mbps | Latency=15ms | Reliability=99.954% | Density=3093devices/km2 | Mobility=76km/h | Error  =Scale lag | StdTag=TS 23.503,"TS 23.503 eMBB policy apply, URLLC priority path, mMTC load balance"
108,Throughput=571Mbps | Latency=12ms | Reliability=99.955% | Density=2705devices/km2 | Mobility=108km/h | Error  =Policy miss | StdTag=TS 23.503,"TS 23.503 eMBB policy apply, URLLC priority path, mMTC load balance"
109,Throughput=836Mbps | Latency=4ms | Reliability=99.983% | Density=2714devices/km2 | Mobility=92km/h | Error  =Sync loss | StdTag=TS 23.503,"TS 23.503 eMBB policy apply, URLLC priority path, mMTC load balance"
110,Throughput=1115Mbps | Latency=4ms | Reliability=99.978% | Density=2576devices/km2 | Mobility=31km/h | Error  =QoS drift | StdTag=TS 23.503,"TS 23.503 eMBB policy apply, URLLC priority path, mMTC load balance"
111,Throughput=587Mbps | Latency=13ms | Reliability=99.965% | Density=3705devices/km2 | Mobility=36km/h | Error  =Scale lag | StdTag=TS 23.503,"TS 23.503 eMBB policy apply, URLLC priority path, mMTC load balance"
112,Throughput=1048Mbps | Latency=13ms | Reliability=99.964% | Density=2866devices/km2 | Mobility=79km/h | Error  =QoS drift | StdTag=TS 23.503,"TS 23.503 eMBB policy apply, URLLC priority path, mMTC load balance"
113,Throughput=1104Mbps | Latency=6ms | Reliability=99.989% | Density=2255devices/km2 | Mobility=52km/h | Error  =Timing skew | StdTag=TS 23.503,"TS 23.503 eMBB policy apply, URLLC priority path, mMTC load balance"
114,Throughput=992Mbps | Latency=3ms | Reliability=99.951% | Density=3146devices/km2 | Mobility=100km/h | Error  =Link drop | StdTag=TS 23.503,"TS 23.503 eMBB policy apply, URLLC priority path, mMTC load balance"
115,Throughput=640Mbps | Latency=9ms | Reliability=99.969% | Density=3329devices/km2 | Mobility=93km/h | Error  =Minor delay | StdTag=TS 23.503,"TS 23.503 eMBB policy apply, URLLC priority path, mMTC load balance"
116,Throughput=1154Mbps | Latency=4ms | Reliability=99.96% | Density=3992devices/km2 | Mobility=84km/h | Error  =Timing skew | StdTag=TS 23.503,"TS 23.503 eMBB policy apply, URLLC priority path, mMTC load balance"
117,Throughput=604Mbps | Latency=6ms | Reliability=99.972% | Density=3943devices/km2 | Mobility=118km/h | Error  =Link drop | StdTag=TS 23.503,"TS 23.503 eMBB policy apply, URLLC priority path, mMTC load balance"
118,Throughput=519Mbps | Latency=9ms | Reliability=99.992% | Density=2947devices/km2 | Mobility=49km/h | Error  =QoS drift | StdTag=TS 23.503,"TS 23.503 eMBB policy apply, URLLC priority path, mMTC load balance"
119,Throughput=749Mbps | Latency=14ms | Reliability=99.997% | Density=3474devices/km2 | Mobility=67km/h | Error  =Scale lag | StdTag=TS 23.503,"TS 23.503 eMBB policy apply, URLLC priority path, mMTC load balance"
120,Throughput=543Mbps | Latency=14ms | Reliability=99.953% | Density=2660devices/km2 | Mobility=96km/h | Error  =Radio load | StdTag=TS 23.503,"TS 23.503 eMBB policy apply, URLLC priority path, mMTC load balance"
121,Throughput=539Mbps | Latency=13ms | Reliability=99.979% | Density=3993devices/km2 | Mobility=95km/h | Error  =Timing skew | StdTag=TS 23.503,"TS 23.503 eMBB policy apply, URLLC priority path, mMTC load balance"
122,Throughput=809Mbps | Latency=13ms | Reliability=99.966% | Density=3265devices/km2 | Mobility=96km/h | Error  =Buffer warn | StdTag=TS 23.503,"TS 23.503 eMBB policy apply, URLLC priority path, mMTC load balance"
123,Throughput=1073Mbps | Latency=6ms | Reliability=99.967% | Density=2866devices/km2 | Mobility=64km/h | Error  =Link drop | StdTag=TS 23.503,"TS 23.503 eMBB policy apply, URLLC priority path, mMTC load balance"
124,Throughput=939Mbps | Latency=11ms | Reliability=99.951% | Density=3584devices/km2 | Mobility=78km/h | Error  =Radio load | StdTag=TS 23.503,"TS 23.503 eMBB policy apply, URLLC priority path, mMTC load balance"
125,Throughput=1087Mbps | Latency=9ms | Reliability=99.955% | Density=2838devices/km2 | Mobility=63km/h | Error  =QoS drift | StdTag=TS 23.503,"TS 23.503 eMBB policy apply, URLLC priority path, mMTC load balance"
